transaction_id,date,region,product_category,amount,customer_income,customer_age
1,2024-04-12,North,Toys,43.29,89377.48,26.0
2,2024-06-28,South,Clothing,70.24,72571.15,61.0
3,2024-04-02,West,Clothing,48.81,53175.45,41.0
4,2024-01-15,East,Clothing,14.09,54414.4,36.0
5,2024-04-16,South,Electronics,390.42,,60.0
6,2024-03-12,East,Groceries,46.26,79509.68,42.0
7,2024-01-21,South,Groceries,74.1,75170.28,31.0
8,2024-04-12,East,Groceries,36.54,70299.03,43.0
9,2024-05-01,North,Electronics,45.01,71952.49,52.0
10,2024-03-15,North,Groceries,69.01,48382.13,26.0
11,2024-03-28,North,Groceries,55.92,36781.31,38.0
12,2024-04-26,south,Home Goods,47.43,68408.11,49.0
13,2024-04-09,West,Clothing,38.65,73328.37,32.0
14,2024-04-13,North,Clothing,55.28,84105.7,23.0
15,2024-05-31,North,Groceries,49.56,56986.65,47.0
16,2024-05-10,West,Groceries,38.48,54798.73,50.0
17,2024-05-29,North,Clothing,39.26,56411.1,43.0
18,2024-02-22,South,Clothing,37.78,70061.16,31.0
19,2024-01-02,West,Clothing,35.11,55768.66,38.0
20,2024-03-28,South,Home Goods,64.01,59216.41,36.0
21,2024-06-06,East,Clothing,61.99,72465.79,54.0
22,2024-02-07,West,Toys,64.04,50612.46,29.0
23,2024-05-09,South,Clothing,50.07,80867.31,63.0
24,2024-01-21,North,Toys,46.36,69496.34,39.0
25,2024-06-09,South,Home Goods,46.63,32135.69,55.0
26,2024-02-27,West,Clothing,65.32,52269.69,41.0
27,2024-01-22,West,Home Goods,22.7,29634.85,44.0
28,2024-03-29,West,Electronics,42.28,57049.81,34.0
29,2024-02-18,North,Toys,36.69,52525.33,35.0
30,2024-02-28,West,Groceries,70.4,72522.82,14.0
31,2024-06-18,West,Electronics,42.84,46784.72,41.0
32,2024-01-15,East,Groceries,25.46,65816.03,43.0
33,2024-06-23,West,Toys,53.35,68532.71,54.0
34,2024-02-20,West,Electronics,44.45,63857.92,33.0
